1771768842236,position,48.7153059,2.2026211
1771768851645,position,48.7152338,2.2026067
1771768860745,position,48.7151418,2.2025766
1771768870074,position,48.7150288,2.2025487
1771768879136,position,48.7149101,2.2025386
1771768888146,position,48.7148174,2.2025393
1771768897393,position,48.7147048,2.2025407
1771768906287,position,48.7146112,2.2025506
1771768916586,position,48.7145867,2.2026961
1771768925583,position,48.7145728,2.2028438
1771768925816,seen
1771768926256,see
1771768934875,position,48.714524,2.2029715
1771768944106,position,48.7145177,2.2031487
1771768953386,position,48.7144807,2.203322
1771768962536,position,48.7144531,2.2034721
1771768971876,position,48.7144495,2.2036497
1771768981126,position,48.7144357,2.203818
1771768990159,position,48.7144118,2.2039648
1771768999175,position,48.7143902,2.2041213
1771769008256,position,48.7143761,2.2042662
1771769017424,position,48.714358,2.20444
1771769026986,position,48.7143284,2.2046177
1771769036256,position,48.7143263,2.2047864
1771769045494,position,48.7143123,2.2049494
1771769054636,position,48.7142973,2.2051077
1771769064506,position,48.714184,2.2051404
1771769073818,position,48.7141762,2.2052926
1771769083028,position,48.7141526,2.2054658
1771769092137,position,48.7141311,2.2056271
1771769101117,position,48.7141146,2.2058035
1771769110148,position,48.7141147,2.2059623
1771769119179,position,48.7141027,2.2059873
1771769128229,position,48.7140848,2.2060326
1771769137952,position,48.7140411,2.2062205
1771769146902,position,48.7140638,2.2064109
1771769156353,position,48.7140581,2.2065796
1771769165509,position,48.7140396,2.2067348
1771769174669,position,48.7139847,2.2068709
1771769183771,position,48.7139955,2.207022
1771769193060,position,48.714102,2.2070494
1771769202652,position,48.714211,2.2070541
1771769212191,position,48.7142968,2.2071821
1771769215793,see
1771769221142,position,48.7143211,2.2071618
1771769230342,position,48.7142029,2.207067
1771769239939,position,48.7140597,2.2070776
1771769249029,position,48.7139312,2.207075
1771769258142,position,48.713817,2.2070826
1771769267429,position,48.7136963,2.2070501
1771769276752,position,48.713572,2.2070564
1771769285932,position,48.7134439,2.2070628
1771769295162,position,48.7133268,2.2070824
1771769304239,position,48.7132174,2.2070901
1771769313749,position,48.7131283,2.2071569
1771769322982,position,48.7130367,2.2070582
1771769332199,position,48.7129421,2.2069802
1771769342059,position,48.7128191,2.2070036
1771769351389,position,48.7127146,2.2070264
1771769360709,position,48.7126327,2.2071269
1771769370011,position,48.712576,2.2071229
1771769379179,position,48.7125165,2.2071155
1771769388151,position,48.7124409,2.2071184
1771769397182,position,48.7123538,2.207099
1771769406612,position,48.7122888,2.2070193
1771769418189,position,48.712251,2.2069938
1771769427170,position,48.712233,2.2069955
1771769437103,position,48.7120973,2.2069608
1771769446251,position,48.7119705,2.2070339
1771769455472,position,48.7118247,2.2070898
1771769464842,position,48.7116999,2.2070876
1771769474999,position,48.7115831,2.2070534
1771769484179,position,48.7115169,2.2071122
1771769493162,position,48.7114744,2.2072805
1771769502152,position,48.7114478,2.2074509
1771769504464,seen
1771769511153,position,48.7114194,2.2075998
1771769520197,position,48.7114204,2.2077626
1771769529258,position,48.7114382,2.2079423
1771769539022,position,48.7114428,2.2081214
1771769548261,position,48.7114242,2.2082877
1771769557437,position,48.7114273,2.2084386
1771769566959,position,48.7114391,2.2085922
1771769576589,position,48.7114728,2.2087394
1771769586012,position,48.7115012,2.2088886
1771769595159,position,48.7115845,2.2089387
1771769604192,position,48.7115609,2.2090854
1771769613359,position,48.7115196,2.2090766
1771769622482,position,48.7114863,2.209016
1771769631621,position,48.711442,2.2087748
1771769641049,position,48.7114078,2.2085584
1771769650782,position,48.7113256,2.2084273
1771769660158,position,48.7112103,2.2083742
1771769669902,position,48.7110786,2.2083847
1771769679782,position,48.7109368,2.2083224
1771769688829,position,48.7108013,2.2083111
1771769698460,position,48.7106743,2.2083484
1771769707807,position,48.7105484,2.208325
1771769716981,position,48.7104307,2.20835
1771769726149,position,48.7102915,2.2083371
1771769735197,position,48.7101862,2.2083463
1771769744246,position,48.7101133,2.2084225
1771769745112,see
1771769753990,position,48.7101243,2.208427
1771769764949,position,48.7100839,2.2085137
1771769774142,position,48.7100801,2.2085147
1771769785159,position,48.7100748,2.2085108
1771769794261,position,48.7100419,2.2085197
1771769803552,position,48.7099981,2.2086541
1771769812599,position,48.7099156,2.2088359
1771769821912,position,48.7099201,2.2091054
1771769831272,position,48.7098973,2.2093447
1771769840719,position,48.7099322,2.209432
1771769850219,position,48.7099298,2.2094426
1771769859172,position,48.7099311,2.2094449
1771769863796,captured,056031
