1765719757076,position,48.7098848,2.2092627
1765719762055,position,48.7098953,2.2091338
1765719767051,position,48.7099132,2.2088504
1765719772086,position,48.7099551,2.2085403
1765719777068,position,48.7100288,2.2082986
1765719782578,position,48.7100916,2.2081412
1765719787308,position,48.7101942,2.2079465
1765719792087,position,48.7102398,2.2076963
1765719796658,position,48.7102828,2.2075142
1765719801467,position,48.7104487,2.2073613
1765719806095,position,48.7105539,2.2069722
1765719811117,position,48.7106724,2.2068416
1765719815758,position,48.7107783,2.2067677
1765719820487,position,48.7108922,2.2066869
1765719825607,position,48.7110366,2.2066594
1765719830296,position,48.7111376,2.2065997
1765719834928,position,48.7113952,2.2067652
1765719839538,position,48.7115747,2.2067674
1765719844226,position,48.711711,2.2067333
1765719848815,position,48.7118399,2.2067315
1765719853785,position,48.7119299,2.2067705
1765719858426,position,48.7120556,2.206818
1765719863168,position,48.7121837,2.206814
1765719867965,position,48.7123074,2.2068242
1765719873948,position,48.7124126,2.2068213
1765719882088,position,48.7127507,2.2065727
1765719887917,position,48.7128402,2.2064965
1765719892937,position,48.7129883,2.2064625
1765719897676,position,48.7131128,2.2064816
1765719902458,position,48.7132479,2.206494
1765719907077,position,48.7133622,2.2064694
1765719911738,position,48.7134687,2.206435
1765719916298,position,48.7135682,2.2064145
1765719920938,position,48.7138839,2.2063956
1765719925567,position,48.7139509,2.2061456
1765719930148,position,48.7140232,2.2059282
1765719934798,position,48.7140747,2.2057123
1765719939378,position,48.7140878,2.2055059
1765719944128,position,48.7140574,2.2053169
1765719948778,position,48.7140725,2.2051136
1765719954087,position,48.7140696,2.2049612
1765719958708,position,48.7141406,2.2045619
1765719963328,position,48.7141819,2.2042918
1765719967987,position,48.7142097,2.204076
1765719972597,position,48.7142458,2.2039174
1765719977658,position,48.7142192,2.2037051
1765719982239,position,48.7141949,2.2035159
1765719986568,see
1765719987099,position,48.7143027,2.2030568
1765719988439,see
1765719990309,see
1765719992069,position,48.7143252,2.202884
1765719997742,position,48.7143107,2.202746
1765720002469,position,48.7143218,2.2025482
1765720007099,position,48.7143409,2.2023674
1765720011667,position,48.7143774,2.2022317
1765720016369,position,48.7144305,2.2021102
