Classement,Nom,Distance (km),Temps de survie,Vitesse moyenne (km/h),Captures,Observations,Observé
1,Les toutA,12.7,01:17:42,9.8,2,11,11
1,Les sans parrains,7.2,01:17:42,5.5,1,48,12
3,Ludodo,5.7,01:17:42,4.4,0,11,48
4,Les retardataires,6.6,00:47:12,8.4,1,18,5
5,RER team,3.7,00:35:04,6.3,0,3,5
6,Mathunters,2.0,00:23:21,5.2,0,3,13
